State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
GA | 30301 30302 30303 30304 30305 39901 31146 30306 30307 30308 30310 31150 31156 30309 31196 31192 31193 30311 31195 
IA | 50022 
PA | 16111 
NC | 28511 
VA | 23303 
FL | 32233 
NY | 11509 
NC | 28512 
NJ | 8401 8404 8405 7716 
MI | 49905 48411 
PA | 15004 
AL | 36503 36502 36504 
OK | 74525 
TN | 38004 
ID | 83215 
AK | 99791 
AL | 35954 
GA | 39815 
NY | 14011 
KS | 67009 
MI | 48412 
OH | 44807 
IN | 47918 
MA | 2703 2763 
OH | 44201 
MN | 56209 
CA | 95301 
IN | 46502 
CA | 92811 
TN | 38220 
OK | 74827 
KS | 67730 
CO | 80722 
IL | 61913 
MI | 48703 
NY | 12912 
MI | 49806 
CA | 93602 
TX | 76227 
AR | 72311 
PA | 17922 
AL | 36832 
IL | 62615 
MI | 48611 
NH | 3032 
KY | 42206 
WY | 83111 
IN | 46706 
KS | 66402 
WA | 98001 
ME | 4210 
WA | 98002 
NE | 68305 
IA | 51433 
WA | 98071 98092 
ME | 4212 4211 
AL | 36831 
NY | 13021 13024 
MA | 1501 
NY | 13022 
GA | 30011 
CA | 95602 
AL | 36830 
WV | 26325 
CA | 95604 95603 
MI | 48321 48326 
AL | 36849 
FL | 33823 
MA | 2466 
WI | 54412 
TN | 37016 
PA | 19407 
NJ | 8106 
IA | 50025 
MN | 56511 
GA | 30903 
WV | 26704 
GA | 30909 30912 
MT | 59410 
GA | 30914 
NJ | 7822 
GA | 30916 30917 30919 30999 
OH | 44607 
ME | 4338 4330 4332 4333 
WI | 54722 
GA | 30906 
ME | 4336 
GA | 30907 
MI | 49012 
MO | 63332 
AR | 72006 
GA | 30905 
IL | 62311 
GA | 30901 
KS | 67010 
GA | 30904 
KY | 41002 
VA | 24411 
AK | 99821 
NC | 27805 
CO | 80610 
PA | 15713 
OR | 97325 
IA | 51005 
NY | 12016 
IN | 47001 
NE | 68818 
OH | 44202 
CO | 80014 80013 80012 80041 80011 80010 
WV | 26705 
IA | 50607 
ME | 4408 
MO | 65605 
NY | 13026 
CO | 80045 
IL | 60505 60504 
CO | 80019 
IL | 60503 60502 
CO | 80018 
MN | 55705 
CO | 80017 
IL | 60572 
CO | 80040 80016 
SD | 57002 
CO | 80044 
KS | 67417 
CO | 80015 80046 
IL | 60598 
CO | 80047 
NC | 27806 
OR | 97002 
IL | 60506 60507 
UT | 84620 
IL | 60568 
CO | 80042 
GA | 30168 30106 
NY | 12017 
TX | 78765 78768 78767 78766 78759 78764 78763 78762 78761 78715 78716 78760 
IN | 47102 
TX | 78711 78752 78701 78702 78703 78704 78705 78708 78709 78710 
KY | 42123 
TX | 78769 78712 78713 78714 78799 78783 78779 78778 78774 78773 78772 78742 78733 78734 78755 78735 78736 78737 78754 78738 78739 78741 78732 78744 78745 78753 78746 78747 78748 78749 78750 78751 78723 78718 78758 78719 78757 78720 
MN | 55912 
TX | 78721 78722 
NV | 89310 
TX | 78717 78724 78725 78726 78727 78728 78756 78729 78730 78731 
AR | 72007 
TX | 73344 
CO | 81410 
TX | 73301 
PA | 16720 
OH | 44010 
VA | 24312 
IA | 50608 
TX | 77950 
AL | 36003 
NC | 28318 
KY | 41602 
MO | 65231 
NY | 13303 
IL | 62907 
OH | 43711 
MO | 65608 
WI | 53505 
TX | 76623 
NJ | 8202 
CA | 90704 
OK | 74001 
KY | 41713 
PA | 15312 
CA | 93204 
NJ | 7001 
MD | 20609 
GA | 30803 
VT | 5901 
NY | 12018 
CA | 95224 
TX | 75554 
ID | 83802 
LA | 70513 
CA | 93424 
MO | 64833 
IN | 46710 
TX | 75630 
PA | 17721 
IL | 62216 
AR | 72711 
IA | 51521 
TX | 79503 
IN | 47420 
WI | 53506 
MN | 56114 
NY | 14809 
NE | 68307 
MI | 48006 
IL | 61415 
CO | 81620 
MT | 59713 
MS | 38723 
MA | 2322 
MN | 56310 
SD | 57315 
CT | 6001 
NY | 14414 
NC | 27915 
IN | 46123 
OH | 44011 
NJ | 7717 
OH | 44012 
FL | 33825 33826 
AZ | 85323 
CO | 81022 
AZ | 85392 
PA | 19311 
WV | 24811 
GA | 30002 
PA | 15618 
SC | 29429 
AL | 36505 
GA | 31624 
